age,job,marital,education,balance,housing,loan,day,month,duration,campaign,poutcome,deposit,pdays_contacted,housing_loan_interaction
41,admin.,single,secondary,1020,1,0,19,5,14.7,1 fois,missing,1,0,0
47,blue-collar,married,secondary,863,1,0,19,5,15.72,2 fois,missing,1,0,0
31,admin.,married,secondary,97,1,0,19,5,10.12,1 fois,missing,1,0,0
31,blue-collar,married,secondary,754,1,0,19,5,17.03,3-6 fois,missing,1,0,0
43,services,divorced,secondary,1040,1,0,19,5,9.2,3-6 fois,missing,1,0,0
37,management,divorced,tertiary,122,1,0,19,5,27.03,2 fois,missing,1,0,0
30,technician,single,tertiary,880,1,1,19,5,16.12,3-6 fois,missing,1,0,1
41,technician,married,secondary,501,1,0,19,5,9.65,3-6 fois,missing,1,0,0
36,blue-collar,married,secondary,4438,1,0,20,5,7.43,1 fois,missing,1,0,0
35,blue-collar,divorced,secondary,0,1,0,20,5,20.08,1 fois,missing,1,0,0
29,services,single,secondary,271,1,0,20,5,31.37,2 fois,missing,1,0,0
35,blue-collar,married,primary,102,1,0,20,5,22.23,1 fois,missing,1,0,0
31,blue-collar,married,secondary,2,1,0,20,5,3.03,2 fois,missing,1,0,0
35,services,married,secondary,4170,1,0,20,5,29.62,1 fois,missing,1,0,0
34,technician,single,secondary,85,1,0,20,5,19.7,3-6 fois,missing,1,0,0
31,admin.,single,secondary,431,1,1,20,5,17.42,1 fois,missing,1,0,1
44,technician,divorced,secondary,982,1,0,20,5,10.83,3-6 fois,missing,1,0,0
36,blue-collar,married,primary,408,1,1,20,5,17.72,2 fois,missing,1,0,1
35,blue-collar,married,,4822,1,0,20,5,14.05,2 fois,missing,1,0,0
41,blue-collar,married,primary,1250,1,0,20,5,23.2,2 fois,missing,1,0,0
31,blue-collar,single,primary,216,1,0,21,5,9.42,1 fois,missing,1,0,0
34,blue-collar,married,secondary,1207,1,0,21,5,15.08,1 fois,missing,1,0,0
32,technician,married,secondary,791,1,0,21,5,13.05,2 fois,missing,1,0,0
36,management,married,tertiary,849,1,1,21,5,15.97,2 fois,missing,1,0,1
30,blue-collar,single,secondary,239,1,0,21,5,6.87,1 fois,missing,1,0,0
37,technician,single,secondary,1211,1,0,21,5,13.25,1 fois,missing,1,0,0
36,blue-collar,married,primary,599,1,0,21,5,10.82,2 fois,missing,1,0,0
31,management,single,tertiary,825,1,0,21,5,8.43,2 fois,missing,1,0,0
27,technician,married,secondary,2183,1,1,21,5,14.28,1 fois,missing,1,0,1
34,retired,married,primary,4499,0,0,21,5,28.02,1 fois,missing,1,0,0
30,technician,single,tertiary,1289,1,0,21,5,28.28,2 fois,missing,1,0,0
32,technician,single,tertiary,4665,1,0,21,5,14.33,2 fois,missing,1,0,0
37,technician,single,secondary,3326,1,0,21,5,13.32,1 fois,missing,1,0,0
32,blue-collar,married,secondary,783,1,0,21,5,15.38,3-6 fois,missing,1,0,0
33,blue-collar,married,secondary,0,1,0,21,5,8.68,3-6 fois,missing,1,0,0
35,blue-collar,married,primary,994,1,0,23,5,22.48,> 6 fois,missing,1,0,0
35,self-employed,divorced,tertiary,1354,1,0,23,5,12.27,2 fois,missing,1,0,0
30,blue-collar,single,secondary,239,1,0,23,5,13.08,1 fois,missing,1,0,0
45,blue-collar,divorced,primary,-311,1,0,23,5,17.17,1 fois,missing,1,0,0
45,admin.,married,secondary,149,1,0,23,5,14.88,3-6 fois,missing,1,0,0
33,blue-collar,married,secondary,1464,1,0,23,5,9.8,3-6 fois,missing,1,0,0
44,management,divorced,tertiary,5773,0,0,23,5,9.95,3-6 fois,missing,1,0,0
40,blue-collar,married,primary,278,1,0,23,5,16.92,3-6 fois,missing,1,0,0
31,blue-collar,married,secondary,2910,1,0,23,5,23.2,2 fois,missing,1,0,0
30,technician,married,tertiary,541,1,0,26,5,6.9,2 fois,missing,1,0,0
44,technician,divorced,secondary,1262,1,0,26,5,13.13,> 6 fois,missing,1,0,0
34,services,married,secondary,-538,1,0,26,5,11.37,1 fois,missing,1,0,0
37,blue-collar,married,secondary,125,0,0,26,5,11.32,2 fois,missing,1,0,0
28,self-employed,single,tertiary,0,1,0,26,5,26.0,2 fois,missing,1,0,0
32,admin.,single,secondary,620,1,0,26,5,20.57,3-6 fois,missing,1,0,0
37,blue-collar,divorced,secondary,316,1,0,26,5,10.7,2 fois,missing,1,0,0
34,management,married,tertiary,2287,1,0,26,5,14.92,3-6 fois,missing,1,0,0
38,admin.,divorced,secondary,198,1,0,26,5,7.18,2 fois,missing,1,0,0
28,admin.,single,secondary,460,1,0,26,5,12.35,3-6 fois,missing,1,0,0
31,management,divorced,tertiary,1145,1,0,26,5,21.2,3-6 fois,missing,1,0,0
59,services,married,secondary,-22,1,0,26,5,12.47,3-6 fois,missing,1,0,0
24,blue-collar,married,secondary,685,1,0,26,5,14.93,3-6 fois,missing,1,0,0
26,services,single,secondary,901,1,0,26,5,12.73,2 fois,missing,1,0,0
59,retired,single,secondary,351,1,0,27,5,17.72,3-6 fois,missing,1,0,0
30,entrepreneur,single,primary,0,1,1,27,5,17.52,1 fois,missing,1,0,1
37,admin.,married,secondary,274,1,0,27,5,12.18,3-6 fois,missing,1,0,0
30,admin.,single,secondary,-213,1,1,27,5,12.52,1 fois,missing,1,0,1
25,blue-collar,married,secondary,97,1,0,27,5,11.82,1 fois,missing,1,0,0
44,services,divorced,secondary,51,1,1,27,5,51.57,2 fois,missing,1,0,1
29,management,married,tertiary,314,0,0,28,5,15.63,2 fois,missing,1,0,0
26,management,single,tertiary,6840,1,0,28,5,26.0,2 fois,missing,1,0,0
26,technician,single,secondary,668,1,0,28,5,9.6,3-6 fois,missing,1,0,0
27,services,single,secondary,54,1,0,28,5,9.05,2 fois,missing,1,0,0
25,self-employed,single,secondary,1242,1,0,28,5,10.25,2 fois,missing,1,0,0
28,management,married,secondary,292,1,0,28,5,8.45,1 fois,missing,1,0,0
23,services,single,secondary,665,1,0,28,5,19.72,1 fois,missing,1,0,0
34,management,single,tertiary,1058,1,0,28,5,14.4,2 fois,missing,1,0,0
28,student,single,secondary,949,1,0,28,5,28.83,1 fois,missing,1,0,0
51,entrepreneur,married,,606,1,0,28,5,9.33,> 6 fois,missing,1,0,0
35,blue-collar,married,secondary,0,1,1,29,5,9.05,1 fois,missing,1,0,1
35,admin.,married,secondary,404,1,0,29,5,8.98,1 fois,missing,1,0,0
56,blue-collar,married,secondary,249,1,0,29,5,13.18,2 fois,missing,1,0,0
45,unemployed,divorced,secondary,3354,1,0,29,5,12.43,1 fois,missing,1,0,0
60,blue-collar,divorced,secondary,0,1,0,29,5,20.12,1 fois,missing,1,0,0
56,technician,married,secondary,589,1,0,29,5,8.92,2 fois,missing,1,0,0
27,management,single,tertiary,12956,1,0,29,5,13.15,3-6 fois,missing,1,0,0
30,admin.,married,secondary,873,1,0,29,5,13.2,3-6 fois,missing,1,0,0
45,blue-collar,divorced,primary,594,1,0,29,5,13.88,2 fois,missing,1,0,0
29,blue-collar,single,secondary,-20,1,0,29,5,13.57,2 fois,missing,1,0,0
38,management,divorced,tertiary,4692,1,0,29,5,22.72,2 fois,missing,1,0,0
30,blue-collar,married,secondary,486,1,0,29,5,18.48,3-6 fois,missing,1,0,0
44,blue-collar,single,primary,1593,1,0,29,5,13.8,3-6 fois,missing,1,0,0
36,management,single,tertiary,7606,1,0,30,5,15.28,1 fois,missing,1,0,0
38,technician,married,secondary,226,1,0,30,5,12.7,3-6 fois,missing,1,0,0
36,blue-collar,single,secondary,366,1,1,30,5,18.88,2 fois,missing,1,0,1
37,management,divorced,secondary,16,1,0,30,5,10.63,1 fois,missing,1,0,0
35,management,single,tertiary,565,1,0,30,5,12.72,1 fois,missing,1,0,0
38,admin.,divorced,secondary,19,1,0,30,5,10.07,2 fois,missing,1,0,0
40,services,married,primary,1082,1,0,30,5,14.23,2 fois,missing,1,0,0
42,unemployed,divorced,secondary,1713,1,0,30,5,14.25,2 fois,missing,1,0,0
46,management,divorced,tertiary,14481,1,0,30,5,21.15,1 fois,missing,1,0,0
35,technician,divorced,secondary,5724,1,0,30,5,11.52,> 6 fois,missing,1,0,0
34,technician,divorced,secondary,1451,1,0,30,5,18.28,> 6 fois,missing,1,0,0
32,services,married,secondary,-34,1,0,30,5,20.6,2 fois,missing,1,0,0
50,unemployed,married,secondary,3674,1,0,30,5,14.77,3-6 fois,missing,1,0,0
35,blue-collar,married,secondary,698,1,1,30,5,22.38,3-6 fois,missing,1,0,1
36,technician,single,secondary,4136,1,0,30,5,13.53,3-6 fois,missing,1,0,0
53,blue-collar,divorced,primary,2656,1,0,30,5,33.0,2 fois,missing,1,0,0
46,management,single,tertiary,2904,1,0,30,5,16.4,2 fois,missing,1,0,0
26,management,single,tertiary,1004,1,0,30,5,3.8,2 fois,missing,1,0,0
45,technician,single,secondary,410,1,0,30,5,14.85,3-6 fois,missing,1,0,0
31,unemployed,divorced,primary,0,1,0,30,5,12.42,> 6 fois,missing,1,0,0
29,management,single,tertiary,0,1,0,30,5,8.98,> 6 fois,missing,1,0,0
53,entrepreneur,single,secondary,62,1,0,30,5,17.4,3-6 fois,missing,1,0,0
27,blue-collar,married,primary,416,1,0,30,5,19.88,2 fois,missing,1,0,0
39,management,married,tertiary,2763,1,0,2,6,8.77,2 fois,missing,1,0,0
36,services,married,secondary,2984,1,0,2,6,6.57,1 fois,missing,1,0,0
41,blue-collar,married,primary,143,1,1,2,6,10.98,2 fois,missing,1,0,1
36,services,married,primary,0,1,0,2,6,17.27,1 fois,missing,1,0,0
32,technician,married,secondary,696,1,0,2,6,13.58,1 fois,missing,1,0,0
35,services,married,secondary,152,1,0,2,6,9.38,1 fois,missing,1,0,0
36,management,single,tertiary,-78,1,0,2,6,17.8,1 fois,missing,1,0,0
35,management,married,tertiary,867,1,0,2,6,3.83,3-6 fois,missing,1,0,0
30,blue-collar,single,secondary,953,1,0,2,6,12.45,2 fois,missing,1,0,0
42,blue-collar,married,secondary,443,1,0,2,6,11.18,3-6 fois,missing,1,0,0
42,technician,single,secondary,-1129,1,0,2,6,9.25,3-6 fois,missing,1,0,0
32,blue-collar,married,primary,415,1,0,2,6,12.95,3-6 fois,missing,1,0,0
29,blue-collar,single,secondary,260,1,0,2,6,11.78,> 6 fois,missing,1,0,0
44,management,divorced,tertiary,-411,1,0,2,6,7.2,3-6 fois,missing,1,0,0
32,technician,single,secondary,1279,1,0,3,6,19.55,3-6 fois,missing,1,0,0
31,unemployed,married,secondary,86,1,1,3,6,16.05,2 fois,missing,1,0,1
40,self-employed,married,secondary,-754,1,1,3,6,15.68,3-6 fois,missing,1,0,1
43,entrepreneur,married,secondary,0,0,0,3,6,17.08,> 6 fois,missing,1,0,0
27,management,single,secondary,178,1,0,3,6,12.2,2 fois,missing,1,0,0
37,services,single,secondary,278,1,0,3,6,17.42,3-6 fois,missing,1,0,0
23,services,single,secondary,425,1,0,3,6,12.8,1 fois,missing,1,0,0
25,management,married,primary,168,1,0,3,6,13.35,1 fois,missing,1,0,0
26,blue-collar,single,secondary,-36,1,0,3,6,8.03,2 fois,missing,1,0,0
47,blue-collar,divorced,primary,126,1,0,3,6,40.93,2 fois,missing,1,0,0
35,admin.,married,secondary,-87,1,0,3,6,22.72,> 6 fois,missing,1,0,0
32,technician,single,tertiary,6281,1,0,3,6,22.27,3-6 fois,missing,1,0,0
45,management,divorced,secondary,644,1,0,4,6,10.55,1 fois,missing,1,0,0
30,admin.,divorced,secondary,377,1,0,4,6,8.73,> 6 fois,missing,1,0,0
29,services,single,secondary,-271,1,0,4,6,9.63,1 fois,missing,1,0,0
38,blue-collar,married,primary,5839,1,0,4,6,16.4,2 fois,missing,1,0,0
23,blue-collar,single,secondary,492,1,0,4,6,10.63,1 fois,missing,1,0,0
27,management,single,tertiary,99,1,0,4,6,12.78,2 fois,missing,1,0,0
27,management,single,tertiary,-713,1,0,4,6,8.75,2 fois,missing,1,0,0
29,services,single,secondary,32,1,0,4,6,9.38,1 fois,missing,1,0,0
30,self-employed,married,tertiary,543,1,1,4,6,24.15,3-6 fois,missing,1,0,1
36,blue-collar,married,primary,403,1,0,4,6,15.33,1 fois,missing,1,0,0
35,admin.,divorced,secondary,437,1,0,4,6,15.13,1 fois,missing,1,0,0
36,blue-collar,married,secondary,1772,0,0,5,6,3.47,1 fois,missing,1,0,0
59,retired,divorced,primary,-88,1,0,5,6,15.17,2 fois,missing,1,0,0
47,entrepreneur,married,secondary,0,0,0,5,6,24.1,1 fois,missing,1,0,0
58,entrepreneur,married,tertiary,853,0,0,5,6,19.15,2 fois,missing,1,0,0
37,management,single,tertiary,240,0,0,5,6,18.72,1 fois,missing,1,0,0
46,admin.,single,secondary,849,1,0,5,6,8.47,2 fois,missing,1,0,0
43,blue-collar,single,secondary,318,1,0,5,6,12.27,2 fois,missing,1,0,0
27,management,single,tertiary,703,1,0,5,6,9.83,3-6 fois,missing,1,0,0
38,services,divorced,secondary,61,0,0,5,6,10.6,1 fois,missing,1,0,0
53,housemaid,married,primary,104,0,1,5,6,11.68,1 fois,missing,1,0,0
47,blue-collar,married,secondary,1996,0,0,5,6,12.68,2 fois,missing,1,0,0
56,housemaid,divorced,primary,1238,0,0,5,6,25.97,1 fois,missing,1,0,0
41,housemaid,married,secondary,879,0,0,5,6,17.55,2 fois,missing,1,0,0
29,self-employed,married,secondary,425,1,0,5,6,9.37,> 6 fois,missing,1,0,0
50,technician,married,secondary,416,1,0,5,6,8.23,3-6 fois,missing,1,0,0
45,blue-collar,divorced,primary,844,0,0,5,6,16.97,3-6 fois,missing,1,0,0
35,blue-collar,married,secondary,860,1,0,5,6,14.73,3-6 fois,missing,1,0,0
26,technician,single,secondary,639,1,0,6,6,11.82,3-6 fois,missing,1,0,0
26,admin.,married,secondary,710,1,1,6,6,21.27,2 fois,missing,1,0,1
37,blue-collar,married,,1508,0,1,6,6,6.35,2 fois,missing,1,0,0
30,admin.,single,secondary,223,1,0,6,6,14.37,> 6 fois,missing,1,0,0
38,management,single,tertiary,619,1,0,6,6,7.67,3-6 fois,missing,1,0,0
37,services,divorced,secondary,319,1,0,6,6,7.78,3-6 fois,missing,1,0,0
53,technician,married,secondary,480,0,0,6,6,10.8,2 fois,missing,1,0,0
29,blue-collar,single,primary,213,1,0,6,6,44.22,3-6 fois,missing,1,0,0
35,management,single,tertiary,68,0,0,6,6,18.08,1 fois,missing,1,0,0
28,blue-collar,married,secondary,2788,1,0,6,6,6.15,2 fois,missing,1,0,0
55,blue-collar,married,,7561,0,0,6,6,11.42,3-6 fois,missing,1,0,0
49,management,divorced,secondary,-46,1,0,9,6,17.58,> 6 fois,missing,1,0,0
50,services,married,secondary,1595,0,0,9,6,14.7,1 fois,missing,1,0,0
43,management,single,tertiary,1046,0,0,9,6,15.02,1 fois,missing,1,0,0
58,self-employed,divorced,tertiary,1382,0,0,9,6,11.67,1 fois,missing,1,0,0
38,technician,married,primary,217,1,0,9,6,8.18,3-6 fois,missing,1,0,0
48,blue-collar,divorced,primary,183,0,0,9,6,15.67,1 fois,missing,1,0,0
59,management,married,secondary,1321,0,0,9,6,64.68,3-6 fois,missing,1,0,0
58,blue-collar,married,secondary,25,0,0,9,6,8.1,3-6 fois,missing,1,0,0
36,self-employed,single,tertiary,4844,0,0,9,6,18.95,3-6 fois,missing,1,0,0
42,entrepreneur,married,tertiary,5345,0,0,11,6,14.63,3-6 fois,missing,1,0,0
41,admin.,single,secondary,812,0,1,11,6,9.72,3-6 fois,missing,1,0,0
42,admin.,married,secondary,105,0,0,11,6,19.32,3-6 fois,missing,1,0,0
39,management,married,tertiary,-190,0,1,11,6,14.88,> 6 fois,missing,1,0,0
57,housemaid,married,primary,625,0,1,11,6,14.45,1 fois,missing,1,0,0
52,retired,married,,293,0,0,11,6,11.77,1 fois,missing,1,0,0
59,retired,married,,1033,0,0,11,6,19.98,1 fois,missing,1,0,0
56,blue-collar,married,secondary,1210,0,0,11,6,15.58,1 fois,missing,1,0,0
49,management,married,tertiary,64,0,0,11,6,9.77,1 fois,missing,1,0,0
35,blue-collar,divorced,,164,0,0,11,6,16.12,2 fois,missing,1,0,0
36,unemployed,married,secondary,1766,0,0,11,6,9.92,2 fois,missing,1,0,0
40,admin.,single,tertiary,1248,0,0,11,6,21.5,2 fois,missing,1,0,0
55,blue-collar,married,secondary,0,0,0,12,6,10.23,2 fois,missing,1,0,0
58,admin.,married,secondary,826,0,0,12,6,14.75,1 fois,missing,1,0,0
39,self-employed,married,tertiary,2630,0,0,12,6,10.85,3-6 fois,missing,1,0,0
47,housemaid,single,tertiary,3727,0,0,12,6,16.55,3-6 fois,missing,1,0,0
40,management,married,secondary,406,1,0,12,6,9.62,2 fois,missing,1,0,0
35,blue-collar,married,tertiary,2999,0,0,12,6,19.02,3-6 fois,missing,1,0,0
48,blue-collar,married,secondary,1000,1,0,12,6,21.13,2 fois,missing,1,0,0
48,management,divorced,tertiary,503,0,1,12,6,20.72,> 6 fois,missing,1,0,0
24,blue-collar,single,secondary,-203,1,0,12,6,7.75,3-6 fois,missing,1,0,0
49,blue-collar,married,primary,361,1,0,16,6,8.55,2 fois,missing,1,0,0
36,blue-collar,married,secondary,274,1,0,16,6,11.43,> 6 fois,missing,1,0,0
52,retired,divorced,tertiary,3687,1,1,16,6,12.35,3-6 fois,missing,1,0,1
42,entrepreneur,single,,323,0,0,16,6,10.28,1 fois,missing,1,0,0
36,services,married,secondary,981,0,0,16,6,18.22,1 fois,missing,1,0,0
36,blue-collar,divorced,secondary,638,1,0,16,6,23.25,2 fois,missing,1,0,0
48,unemployed,single,tertiary,3229,0,0,16,6,18.15,1 fois,missing,1,0,0
51,management,single,secondary,1610,1,0,16,6,20.8,3-6 fois,missing,1,0,0
51,blue-collar,married,secondary,33,0,1,16,6,12.02,3-6 fois,missing,1,0,0
46,technician,married,secondary,536,1,0,16,6,12.5,2 fois,missing,1,0,0
37,management,married,tertiary,0,0,0,16,6,10.62,3-6 fois,missing,1,0,0
36,entrepreneur,married,tertiary,3057,0,0,16,6,46.15,3-6 fois,missing,1,0,0
47,management,married,secondary,2892,0,0,17,6,9.27,1 fois,missing,1,0,0
40,technician,divorced,tertiary,0,0,0,17,6,8.7,1 fois,missing,1,0,0
38,student,single,tertiary,3316,0,0,17,6,22.42,3-6 fois,missing,1,0,0
40,management,married,secondary,106,0,0,17,6,11.27,2 fois,missing,1,0,0
39,blue-collar,married,primary,2303,1,0,17,6,12.92,3-6 fois,missing,1,0,0
60,management,married,tertiary,3301,0,0,17,6,43.68,3-6 fois,missing,1,0,0
39,self-employed,single,tertiary,426,0,0,18,6,17.15,1 fois,missing,1,0,0
51,services,divorced,secondary,9,0,0,18,6,6.18,2 fois,missing,1,0,0
27,admin.,married,secondary,-97,1,0,18,6,25.47,2 fois,missing,1,0,0
41,management,single,tertiary,11008,0,0,18,6,25.67,1 fois,missing,1,0,0
42,blue-collar,single,primary,4930,0,0,18,6,16.22,1 fois,missing,1,0,0
41,entrepreneur,married,secondary,707,0,0,18,6,11.78,1 fois,missing,1,0,0
33,technician,married,secondary,4,1,1,18,6,10.42,2 fois,missing,1,0,1
46,admin.,married,secondary,126,0,0,18,6,20.92,1 fois,missing,1,0,0
31,blue-collar,married,secondary,671,1,0,18,6,11.73,3-6 fois,missing,1,0,0
41,blue-collar,married,primary,219,0,1,18,6,26.23,3-6 fois,missing,1,0,0
41,blue-collar,divorced,secondary,3622,0,0,19,6,18.92,3-6 fois,missing,1,0,0
55,retired,divorced,secondary,1580,0,1,19,6,16.78,1 fois,missing,1,0,0
53,technician,married,secondary,1319,0,0,19,6,21.97,3-6 fois,missing,1,0,0
55,housemaid,married,primary,2152,0,0,19,6,15.37,2 fois,missing,1,0,0
39,services,married,secondary,2843,1,0,19,6,9.75,1 fois,missing,1,0,0
40,entrepreneur,married,tertiary,0,0,0,19,6,15.87,3-6 fois,missing,1,0,0
59,retired,married,primary,1115,0,0,19,6,13.9,1 fois,missing,1,0,0
42,blue-collar,single,secondary,625,0,0,19,6,10.85,3-6 fois,missing,1,0,0
41,blue-collar,married,primary,246,0,0,19,6,11.38,3-6 fois,missing,1,0,0
27,blue-collar,married,secondary,61,1,0,19,6,16.87,1 fois,missing,1,0,0
25,blue-collar,single,secondary,-191,1,0,19,6,15.97,> 6 fois,missing,1,0,0
